  20718     -0.0093     -0.0021     -0.0378      0.0021   1680.0
  20719      0.8645      0.0778     -0.0405      0.0015  -3878.0
  20721      5.0901      0.6065     -8.1778      0.3082   -262.0
  20722     -1.8673      0.0441    110.2726      7.2489  -1172.0
  20723     -0.9728      0.0486     -0.0220      0.0057   -527.0
  20727     -0.0159      0.0015     -0.0398      0.0013   4018.0
  20728     -0.9463      0.0959     -2.8383      0.0980   -522.0
  20729    170.7783      9.9734     -3.2971      0.1020   -400.0
  20732      6.1167      0.5000     -2.7608      0.5254   -683.0
  20733      2.2630      0.1803     -3.9671      0.3357   -204.0
  20734     -0.4820      0.4176     -3.0216      0.0721   -728.0
  20735     -0.0107     -0.0014     -0.0379      0.0014   4074.0
  20750     -0.0037      0.0011     -0.0961      0.0047   7498.0
  20751     -2.1979      0.1971     -3.3135      0.0874   -547.0
  20752     -0.6237      0.0768     -0.0357      0.0017  -2437.0
  20753     10.1264      0.7910     -0.0982      0.0044  -3133.0
  20754     -0.0045      0.0014     -0.0372      0.0014   3955.0
  20755     -0.0036      0.0011     -0.0357      0.0012   6261.0
  20771      0.0809      0.0935     -0.0434      0.0053    199.0
  20785      0.6268      0.0348     -0.0444      0.0015  -3845.0
  20786      0.0075      0.0016     -0.0439      0.0016   3377.0
  20787     -5.6125      0.2105     -0.0483     -0.0025  -1132.0
  20788     -3.8083      0.1254     -0.0466      0.0027  -1045.0
  20790      0.0072      0.0018     -0.0388      0.0018   2747.0
  20791      0.0060      0.0008     -0.0442      0.0008  12095.0
  20792     -2.2405      0.0768     -0.0409      0.0019  -1977.0
  20809     -0.0483      0.0026     -0.0375      0.0025   1152.0
  20818     -3.4953      0.0818     -0.0518     -0.0034   -669.0
  20819     -4.2086      0.1246      6.1529      1.5586   -555.0
  20820      4.2332      0.2350  -9999.0000    -63.5648   -247.0
  20821     -0.0091      0.0025     -0.0475     -0.0023   1477.0
  20864     -0.0584      0.0015     -0.0443      0.0015   3609.0
  20869     -0.0508      0.0012     -0.0450      0.0009   9654.0
  20870     -0.0580      0.0023     -0.0461      0.0023   1533.0
  20871     -0.0616      0.0024     -0.0525      0.0069   1408.0
  20872     -0.7396      0.0138     -0.0444      0.0019  -2111.0
  20873     -0.0589      0.0019     -0.0452      0.0020   1983.0
  20874     -1.4666      0.0505     -0.6948      1.2925   -377.0
  20875     -0.0616      0.0019     -0.0447      0.0021   1977.0
  20876     -0.0649      0.0031     -0.0365      0.0030    661.0
  20877     -0.0647      0.0021     -0.1008      0.0086   1595.0
  20879     -0.0558      0.0019     -0.0474      0.0019   2064.0
  20905     -0.0621      0.0012     -0.0545      0.0012   5891.0
  20907     -4.1785      0.2913     -3.4603      0.1739   -199.0
  20908     -0.0619      0.0029     -3.9868      0.0647   -921.0
  20909     -0.3149      1.6668     -0.7232      0.2416    -16.0
  20910     -0.0635      0.0009     -0.0482      0.0009  11983.0
  20911     -0.0674      0.0017     -0.0503      0.0017   2681.0
  21165     -0.1453      0.0016     -0.0572      0.0016   3175.0
  21166     -0.1476      0.0011     -0.0565      0.0011   6827.0
  21167     -0.1512      0.0018     -0.0552      0.0017   2678.0
  21168     -0.1519      0.0011     -0.0569      0.0011   6830.0
  21186     -0.1471      0.0024     -0.0529      0.0025   1260.0
  21187     -0.1426      0.0017     -0.0566      0.0017   2576.0
  21189     -0.1469      0.0011     -0.0564      0.0011   7334.0
  21190     -0.5798      0.0082     -0.0551     -0.0024  -1423.0
  21191     -0.1471      0.0009     -0.0551      0.0009  10343.0
  21192     -0.1471      0.0011     -0.0550      0.0011   6886.0
  21193     -0.1463      0.0011     -0.0570      0.0011   7044.0
  21202     -0.1426      0.0015     -0.0757      0.0030   3707.0
  21203     -0.1437      0.0010     -0.0600      0.0010   7706.0
  21204     -0.1368      0.0013     -0.0571      0.0013   4708.0
